Trial number,Gaze,Target location,Congruency,Target identity,Response,Correct,Response time
193,1,2,2,1,1,1,532.6352999982191
194,2,1,2,2,2,1,691.7181000026176
195,2,1,2,1,1,1,560.6914999989385
196,2,1,2,1,1,1,553.5997000006319
197,2,2,1,1,1,1,760.8822000001965
198,2,2,1,1,1,1,525.07820000028
199,2,1,2,2,2,1,454.712800001289
200,1,2,2,2,2,1,566.5638999998919
201,2,1,2,1,1,1,513.0121000001964
202,1,2,2,1,1,1,474.46839999975055
203,2,2,1,2,2,1,472.23289999965345
204,1,1,1,1,1,1,533.3248999995703
205,2,2,1,1,1,1,540.5742000002647
206,2,1,2,2,2,1,472.3799000021245
207,2,1,2,1,1,1,504.7247000002244
208,1,1,1,2,2,1,494.67659999936586
209,1,2,2,2,1,2,441.40239999978803
210,2,1,2,2,2,1,497.93030000000726
211,1,1,1,2,2,1,449.4236999998975
212,2,2,1,1,1,1,488.97390000274754
213,2,1,2,1,1,1,658.6448000016389
214,2,1,2,1,1,1,534.0897999994922
215,2,1,2,2,2,1,477.6912000015727
216,2,2,1,1,1,1,428.1249999985448
217,1,1,1,1,1,1,614.10049999904
218,2,1,2,1,1,1,537.3823000008997
219,2,2,1,2,2,1,632.3589000021457
220,1,2,2,2,2,1,689.7234999996726
221,2,1,2,1,1,1,479.8884999981965
222,1,2,2,1,1,1,717.1118000005663
223,2,2,1,1,1,1,533.3707999998296
224,2,1,2,2,2,1,478.3330999998725
225,2,1,2,2,2,1,384.3287000017881
226,2,2,1,2,2,1,496.72369999825605
227,2,1,2,1,1,1,405.69310000137193
228,2,2,1,1,1,1,582.496800001536
229,2,2,1,1,1,1,548.5645000007935
230,2,2,1,2,2,1,445.0741000000562
231,2,2,1,2,2,1,483.4283000018331
232,2,1,2,2,2,1,477.8435000007448
233,2,2,1,2,2,1,431.338099999266
234,2,1,2,2,2,1,348.2518999990134
235,2,2,1,1,1,1,534.6300000019255
236,2,1,2,2,2,1,469.6905999990122
237,2,1,2,1,1,1,530.3493999999773
238,2,2,1,2,2,1,623.6882999983209
239,2,2,1,1,1,1,471.140400000877
240,2,2,1,2,2,1,566.3142000012158
241,2,1,2,1,1,1,809.8580000005313
242,2,2,1,1,1,1,510.4463999996369
243,2,2,1,1,1,1,386.5789000010409
244,2,1,2,1,1,1,562.2320000002219
245,2,2,1,1,1,1,431.33339999985765
246,2,2,1,2,2,1,598.0258999989019
247,2,2,1,2,2,1,415.7786000032502
248,2,2,1,2,2,1,419.75620000084746
249,2,1,2,2,2,1,461.2325999987661
250,1,2,2,2,2,1,487.2625000025437
251,2,2,1,1,1,1,446.7090000034659
252,2,1,2,1,1,1,512.3051999980817
253,2,1,2,2,2,1,491.76989999978105
254,1,2,2,1,1,1,539.5069000005606
255,2,1,2,2,2,1,520.438200001081
256,2,2,1,2,2,1,563.118599999143
257,1,1,1,2,2,1,638.1905999987794
258,2,2,1,1,1,1,505.35630000013043
259,2,1,2,1,1,1,587.7884000001359
260,2,1,2,2,2,1,534.7578000000794
261,2,1,2,2,2,1,384.661000000051
262,2,2,1,2,2,1,555.4320000010193
263,2,1,2,1,1,1,504.5475999977498
264,1,2,2,2,2,1,516.6693999999552
265,1,1,1,1,1,1,617.1850999999151
266,2,1,2,1,1,1,540.9852000011597
267,2,2,1,1,1,1,833.8748999995005
268,2,2,1,1,1,1,471.45480000108364
269,2,1,2,2,2,1,666.5575999977591
270,1,2,2,1,1,1,647.2462999990967
271,2,1,2,1,2,2,470.92220000195084
272,2,2,1,2,2,1,622.2797999980685
273,2,2,1,2,2,1,573.1761999995797
274,1,1,1,2,2,1,442.21059999836143
275,2,2,1,1,1,1,559.4885999998951
276,2,2,1,2,2,1,686.2986999985878
277,2,1,2,2,2,1,680.6766000008793
278,1,1,1,1,1,1,502.77750000168453
279,2,1,2,1,1,1,484.0788999972574
280,2,1,2,2,1,2,462.5917000012123
281,2,1,2,1,1,1,492.37450000146055
282,1,2,2,2,2,1,499.42489999739337
283,2,1,2,2,2,1,567.0594000002893
284,1,2,2,2,2,1,554.8896000000241
285,2,1,2,2,2,1,397.98140000129933
286,2,2,1,2,2,1,418.8536000001477
287,2,1,2,2,2,1,364.8802000025171
288,2,2,1,1,1,1,473.15420000086306
289,2,2,1,2,2,1,490.2656999984174
290,2,1,2,1,1,1,483.87150000053225
291,2,2,1,1,1,1,595.8370000007562
292,1,1,1,1,1,1,495.17029999697115
293,2,2,1,2,2,1,537.4207999993814
294,2,2,1,2,2,1,855.4499999991094
295,2,1,2,1,1,1,759.853600000497
296,2,1,2,1,1,1,484.5993000017188
297,2,1,2,2,2,1,484.2155999976967
298,2,2,1,1,1,1,470.77790000184905
299,1,2,2,1,1,1,536.0172000000603
300,2,1,2,2,2,1,469.98810000150115
301,1,1,1,2,2,1,482.12039999998524
302,2,1,2,2,2,1,531.0669999998936
303,2,1,2,1,1,1,562.9614999998012
304,1,2,2,1,1,1,548.2285999969463
305,2,2,1,1,1,1,512.096800001018
306,2,1,2,2,2,1,533.794000002672
307,2,2,1,1,1,1,594.3716000001587
308,2,2,1,1,1,1,597.8743999985454
309,2,2,1,1,1,1,572.8678999985277
310,2,2,1,2,2,1,688.4250000002794
311,2,2,1,1,1,1,534.0192000003299
312,1,1,1,2,2,1,447.2843000003195
313,1,1,1,1,1,1,571.9320999996853
314,2,1,2,1,1,1,582.8780000010738
315,2,1,2,1,1,1,479.46109999975306
316,2,2,1,2,2,1,523.5510999991675
317,2,2,1,2,2,1,465.0435999974434
318,2,1,2,1,1,1,501.7189000027429
319,2,1,2,2,2,1,612.7691000001505
320,2,2,1,2,2,1,554.9922000027436
321,2,1,2,1,1,1,705.3053999989061
322,1,1,1,1,1,1,623.2586999976775
323,2,2,1,1,1,1,496.06869999843184
324,2,1,2,1,1,1,512.3840000014752
325,1,2,2,1,1,1,431.06970000008005
326,2,1,2,1,1,1,490.8988999995927
327,2,2,1,2,2,1,557.9964999997173
328,2,1,2,2,2,1,698.0947999982163
329,1,2,2,2,1,2,546.2523999995028
330,2,2,1,1,1,1,636.5302999984124
331,2,2,1,1,1,1,1248.0604000011226
332,2,2,1,2,2,1,570.719100000133
333,2,2,1,1,1,1,587.4872999993386
334,1,1,1,2,2,1,509.4621999996889
335,2,1,2,1,1,1,627.6289000015822
336,2,2,1,2,2,1,524.058299997705
337,1,1,1,1,1,1,482.4105999978201
338,2,1,2,1,1,1,900.5012000015995
339,2,2,1,2,2,1,501.3101000004099
340,2,2,1,1,1,1,482.55169999902137
341,2,1,2,2,2,1,577.8072000030079
342,2,1,2,1,1,1,601.649100000941
343,2,1,2,1,1,1,551.7933000010089
344,2,1,2,2,2,1,553.2525999988138
345,2,1,2,1,1,1,552.8591000002052
346,2,1,2,2,2,1,527.9890999991039
347,2,1,2,2,2,1,398.9571000020078
348,2,2,1,2,2,1,519.5426999998745
349,1,2,2,2,2,1,495.4771000011533
350,2,1,2,2,2,1,459.38350000142236
351,2,1,2,2,2,1,410.98760000022594
352,2,2,1,2,2,1,494.2799999989802
353,2,2,1,1,2,2,396.9452999990608
354,1,1,1,2,2,1,418.1014000023424
355,2,2,1,1,1,1,490.29979999977513
356,2,2,1,1,1,1,480.09479999745963
357,2,1,2,2,2,1,565.2033000005758
358,1,2,2,1,1,1,527.8768999996828
359,2,2,1,2,2,1,541.6507000009005
360,2,2,1,2,2,1,540.4285000004165
361,2,1,2,1,1,1,506.410699999833
362,2,2,1,2,2,1,490.0788000013563
363,2,1,2,2,1,2,498.04819999917527
364,1,2,2,2,2,1,590.4601000002003
365,1,2,2,2,2,1,462.101299999631
366,1,2,2,1,1,1,584.5031999997445
367,2,1,2,2,2,1,492.2995000015362
368,2,1,2,1,1,1,572.2411999995529
369,2,2,1,1,1,1,796.6473999986192
370,2,2,1,2,2,1,580.9234000007564
371,2,1,2,1,1,1,563.4948000006261
372,1,1,1,2,2,1,581.4895000003162
373,2,2,1,1,1,1,600.252799998998
374,2,2,1,2,2,1,468.44749999945634
375,1,1,1,2,2,1,443.10050000058254
376,2,1,2,2,2,1,421.29580000255373
377,2,2,1,2,2,1,467.0986000019184
378,2,1,2,1,1,1,585.6568999988667
379,2,2,1,2,2,1,496.0183000002871
380,2,2,1,2,2,1,501.78299999970477
381,2,1,2,2,2,1,454.746300001716
382,2,1,2,2,2,1,500.7184000023699
383,2,2,1,2,2,1,445.5926999980875
384,2,2,1,1,1,1,570.8648999971047
385,2,2,1,1,1,1,476.514900001348
386,2,1,2,2,2,1,505.3613999989466
387,2,1,2,2,2,1,526.8800999983796
388,2,1,2,2,2,1,478.71939999822644
389,2,2,1,2,2,1,552.5113999974565
390,2,1,2,1,1,1,495.7446999978856
391,2,2,1,1,1,1,529.6692000010808
392,2,2,1,1,1,1,655.3726000020106
393,2,1,2,1,1,1,493.5150000019348
394,2,2,1,1,1,1,510.81319999866537
395,2,1,2,1,1,1,581.8235999977333
396,2,1,2,1,1,1,420.31219999989844
397,2,2,1,1,1,1,525.0607999987551
398,1,1,1,1,1,1,741.1878999992041
399,1,1,1,1,1,1,479.73309999724734
400,1,2,2,1,1,1,856.8003999971552
